"YEAR","Month","ctd","Day","Date"
2013,"April",5610,1,"2013-04-01"
2013,"May",4720,1,"2013-05-01"
2013,"June",4900,1,"2013-06-01"
2013,"July",4120,1,"2013-07-01"
2013,"August",3990,1,"2013-08-01"
2013,"September",5740,1,"2013-09-01"
2013,"October",6860,1,"2013-10-01"
2013,"November",7790,1,"2013-11-01"
2013,"December",8040,1,"2013-12-01"
2014,"January",7410,1,"2014-01-01"
2014,"February",7790,1,"2014-02-01"
2014,"March",5280,1,"2014-03-01"
2014,"April",6140,1,"2014-04-01"
2014,"May",5970,1,"2014-05-01"
2014,"June",5060,1,"2014-06-01"
2014,"July",4310,1,"2014-07-01"
2014,"August",3690,1,"2014-08-01"
2014,"September",3170,1,"2014-09-01"
2014,"October",4760,1,"2014-10-01"
2014,"November",7870,1,"2014-11-01"
2014,"December",8320,1,"2014-12-01"
