"YEAR","Month","ctd","Day","Date"
2010,"MAM",4980,1,NA
2010,"JJA",2770,1,NA
2010,"SON",2410,1,NA
2010,"DJF",4850,1,NA
2010,"ANN",3770,1,NA
2011,"January",4950,1,2011-01-01
2011,"February",6050,1,2011-02-01
2011,"March",4870,1,2011-03-01
2011,"April",4780,1,2011-04-01
2011,"May",3560,1,2011-05-01
2011,"June",2570,1,2011-06-01
2011,"July",2740,1,2011-07-01
2011,"August",2930,1,2011-08-01
2011,"September",2310,1,2011-09-01
2011,"October",3060,1,2011-10-01
2011,"November",4620,1,2011-11-01
2011,"December",4930,1,2011-12-01
2011,"MAM",4400,1,NA
2011,"JJA",2750,1,NA
2011,"SON",3330,1,NA
2011,"DJF",5410,1,NA
2011,"ANN",3950,1,NA
2012,"January",5270,1,2012-01-01
2012,"February",6020,1,2012-02-01
2012,"March",5760,1,2012-03-01
2012,"April",4940,1,2012-04-01
2012,"May",3910,1,2012-05-01
2012,"June",2700,1,2012-06-01
2012,"July",2640,1,2012-07-01
2012,"August",2630,1,2012-08-01
2012,"September",2120,1,2012-09-01
2012,"October",2230,1,2012-10-01
2012,"November",3570,1,2012-11-01
2012,"December",4510,1,2012-12-01
2012,"MAM",4870,1,NA
2012,"JJA",2660,1,NA
2012,"SON",2640,1,NA
2012,"DJF",5050,1,NA
2012,"ANN",3860,1,NA
2013,"January",4770,1,2013-01-01
2013,"February",5850,1,2013-02-01
2013,"March",5530,1,2013-03-01
2013,"April",5280,1,2013-04-01
2013,"May",3640,1,2013-05-01
2013,"June",2490,1,2013-06-01
2013,"July",2860,1,2013-07-01
2013,"August",3260,1,2013-08-01
2013,"September",2010,1,2013-09-01
2013,"October",2400,1,2013-10-01
2013,"November",3540,1,2013-11-01
2013,"December",4890,1,2013-12-01
2013,"MAM",4820,1,NA
2013,"JJA",2870,1,NA
2013,"SON",2650,1,NA
2013,"DJF",5360,1,NA
2013,"ANN",3880,1,NA
2014,"January",5400,1,2014-01-01
2014,"February",5800,1,2014-02-01
2014,"March",6200,1,2014-03-01
2014,"April",5440,1,2014-04-01
2014,"May",3860,1,2014-05-01
2014,"June",2500,1,2014-06-01
2014,"July",2990,1,2014-07-01
2014,"August",2340,1,2014-08-01
2014,"September",2440,1,2014-09-01
2014,"October",3170,1,2014-10-01
2014,"November",4450,1,2014-11-01
2014,"December",4430,1,2014-12-01
2014,"MAM",5160,1,NA
2014,"JJA",2610,1,NA
2014,"SON",3350,1,NA
2014,"DJF",0,1,NA
2014,"ANN",4080,1,NA
