"Country","Month","Date","Depth","Day"
"Afghanistan","July",2017-07-01,0.901,1
"Afghanistan","July",2018-07-01,1.815,1
"Afghanistan","July",2019-07-01,1.885,1
"Afghanistan","August",2000-08-01,0.729,1
"Afghanistan","August",2001-08-01,0.8,1
"Afghanistan","August",2002-08-01,1.374,1
"Afghanistan","August",2003-08-01,0.792,1
"Afghanistan","August",2004-08-01,0.608,1
"Afghanistan","August",2005-08-01,0.206,1
"Afghanistan","August",2006-08-01,1.049,1
"Afghanistan","August",2007-08-01,0.393,1
"Afghanistan","August",2008-08-01,0.703,1
"Afghanistan","August",2009-08-01,1.469,1
"Afghanistan","August",2010-08-01,0.587,1
"Afghanistan","August",2011-08-01,1.93,1
"Afghanistan","August",2012-08-01,1.356,1
"Afghanistan","August",2013-08-01,0.886,1
"Afghanistan","August",2014-08-01,0.706,1
"Afghanistan","August",2015-08-01,0.589,1
"Afghanistan","August",2016-08-01,0.311,1
"Afghanistan","August",2017-08-01,0.102,1
"Afghanistan","August",2018-08-01,0.982,1
"Afghanistan","August",2019-08-01,0.773,1
"Afghanistan","September",2000-09-01,1.315,1
"Afghanistan","September",2001-09-01,0.558,1
"Afghanistan","September",2002-09-01,0.371,1
"Afghanistan","September",2003-09-01,0.748,1
"Afghanistan","September",2004-09-01,1.103,1
"Afghanistan","September",2005-09-01,1.995,1
"Afghanistan","September",2006-09-01,0.397,1
"Afghanistan","September",2007-09-01,0.648,1
"Afghanistan","September",2008-09-01,1.214,1
"Afghanistan","September",2009-09-01,1.273,1
"Afghanistan","September",2010-09-01,0.03,1
"Afghanistan","September",2011-09-01,1.408,1
"Afghanistan","September",2012-09-01,0.495,1
"Afghanistan","September",2013-09-01,2.586,1
"Afghanistan","September",2014-09-01,2.268,1
"Afghanistan","September",2015-09-01,0.172,1
"Afghanistan","September",2016-09-01,3.016,1
"Afghanistan","September",2017-09-01,0.93,1
"Afghanistan","September",2018-09-01,1.063,1
"Afghanistan","September",2019-09-01,2.004,1
"Afghanistan","October",2000-10-01,0.87,1
"Afghanistan","October",2001-10-01,0.996,1
"Afghanistan","October",2002-10-01,2.421,1
"Afghanistan","October",2003-10-01,1.516,1
"Afghanistan","October",2004-10-01,-0.786,1
"Afghanistan","October",2005-10-01,1.108,1
"Afghanistan","October",2006-10-01,3.895,1
"Afghanistan","October",2007-10-01,-1.661,1
"Afghanistan","October",2008-10-01,1.838,1
"Afghanistan","October",2009-10-01,0.138,1
"Afghanistan","October",2010-10-01,2.927,1
"Afghanistan","October",2011-10-01,1.339,1
"Afghanistan","October",2012-10-01,0.827,1
"Afghanistan","October",2013-10-01,1.691,1
"Afghanistan","October",2014-10-01,1.134,1
"Afghanistan","October",2015-10-01,1.894,1
"Afghanistan","October",2016-10-01,0.792,1
"Afghanistan","October",2017-10-01,2.092,1
"Afghanistan","October",2018-10-01,-0.103,1
"Afghanistan","October",2019-10-01,1.264,1
"Afghanistan","November",2000-11-01,-0.328,1
"Afghanistan","November",2001-11-01,1.938,1
"Afghanistan","November",2002-11-01,1.582,1
"Afghanistan","November",2003-11-01,-0.229,1
"Afghanistan","November",2004-11-01,2.894,1
"Afghanistan","November",2005-11-01,0.398,1
"Afghanistan","November",2006-11-01,1.763,1
"Afghanistan","November",2007-11-01,2.478,1
"Afghanistan","November",2008-11-01,0.549,1
"Afghanistan","November",2009-11-01,0.926,1
"Afghanistan","November",2010-11-01,0.975,1
"Afghanistan","November",2011-11-01,1,1
"Afghanistan","November",2012-11-01,1.042,1
"Afghanistan","November",2013-11-01,0.975,1
"Afghanistan","November",2014-11-01,-0.403,1
"Afghanistan","November",2015-11-01,0.512,1
"Afghanistan","November",2016-11-01,-1.345,1
"Afghanistan","November",2017-11-01,2.089,1
"Afghanistan","November",2018-11-01,0.882,1
"Afghanistan","November",2019-11-01,-1.051,1
"Afghanistan","December",2000-12-01,0.967,1
"Afghanistan","December",2001-12-01,2.137,1
"Afghanistan","December",2002-12-01,-1.256,1
"Afghanistan","December",2003-12-01,-0.076,1
"Afghanistan","December",2004-12-01,0.187,1
"Afghanistan","December",2005-12-01,0.867,1
"Afghanistan","December",2006-12-01,-1.976,1
"Afghanistan","December",2007-12-01,-0.736,1
"Afghanistan","December",2008-12-01,0.842,1
"Afghanistan","December",2009-12-01,0.95,1
"Afghanistan","December",2010-12-01,-0.154,1
"Afghanistan","December",2011-12-01,-1.789,1
"Afghanistan","December",2012-12-01,-0.467,1
"Afghanistan","December",2013-12-01,-0.216,1
"Afghanistan","December",2014-12-01,0.005,1
"Afghanistan","December",2015-12-01,0.048,1
"Afghanistan","December",2016-12-01,3.429,1
"Afghanistan","December",2017-12-01,0.441,1
"Afghanistan","December",2018-12-01,1.311,1
"Afghanistan","December",2019-12-01,1.426,1
"Australia","January",2000-01-01,-0.557,1
"Australia","January",2001-01-01,1.334,1
"Australia","January",2002-01-01,0.13,1
"Australia","January",2003-01-01,0.882,1
"Australia","January",2004-01-01,0.595,1
"Australia","January",2005-01-01,0.678,1
"Australia","January",2006-01-01,1.185,1
"Australia","January",2007-01-01,0.302,1
"Australia","January",2008-01-01,1.322,1
"Australia","January",2009-01-01,0.662,1
"Australia","January",2010-01-01,0.877,1
"Australia","January",2011-01-01,1.078,1
"Australia","January",2012-01-01,0.284,1
"Australia","January",2013-01-01,1.978,1
"Australia","January",2014-01-01,1.237,1
"Australia","January",2015-01-01,0.405,1
"Australia","January",2016-01-01,0.883,1
"Australia","January",2017-01-01,1.065,1
"Australia","January",2018-01-01,1.494,1
"Australia","January",2019-01-01,2.727,1
"Australia","February",2000-02-01,0.318,1
"Australia","February",2001-02-01,0.573,1
"Australia","February",2002-02-01,-0.4,1
"Australia","February",2003-02-01,1.025,1
"Australia","February",2004-02-01,0.957,1
"Australia","February",2005-02-01,0.787,1
"Australia","February",2006-02-01,0.661,1
"Australia","February",2007-02-01,1.792,1
"Australia","February",2008-02-01,-0.351,1
"Australia","February",2009-02-01,0.688,1
"Australia","February",2010-02-01,1.069,1
"Australia","February",2011-02-01,0.068,1
"Australia","February",2012-02-01,-0.029,1
"Australia","February",2013-02-01,1.045,1
"Australia","February",2014-02-01,0.382,1
"Australia","February",2015-02-01,1.93,1
"Australia","February",2016-02-01,1.29,1
"Australia","February",2017-02-01,0.739,1
"Australia","February",2018-02-01,0.999,1
"Australia","February",2019-02-01,1.456,1
"Australia","March",2000-03-01,0.022,1
"Australia","March",2001-03-01,-0.451,1
"Australia","March",2002-03-01,0.384,1
"Australia","March",2003-03-01,-0.362,1
"Australia","March",2004-03-01,0.372,1
"Australia","March",2005-03-01,1.032,1
"Australia","March",2006-03-01,0.686,1
"Australia","March",2007-03-01,0.65,1
"Australia","March",2008-03-01,0.557,1
"Australia","March",2009-03-01,0.541,1
"Australia","March",2010-03-01,0.425,1
"Australia","March",2011-03-01,-0.679,1
"Australia","March",2012-03-01,-0.765,1
"Australia","March",2013-03-01,0.877,1
"Australia","March",2014-03-01,0.913,1
"Australia","March",2015-03-01,0.848,1
"Australia","March",2016-03-01,1.763,1
"Australia","March",2017-03-01,1.682,1
"Australia","March",2018-03-01,1.066,1
"Australia","March",2019-03-01,1.899,1
"Australia","April",2000-04-01,0.171,1
"Australia","April",2001-04-01,0.325,1
"Australia","April",2002-04-01,1.769,1
"Australia","April",2003-04-01,0.911,1
"Australia","April",2004-04-01,1.034,1
"Australia","April",2005-04-01,2.471,1
"Australia","April",2006-04-01,-0.486,1
"Australia","April",2007-04-01,0.981,1
"Australia","April",2008-04-01,-0.346,1
"Australia","April",2009-04-01,0.741,1
"Australia","April",2010-04-01,1.491,1
"Australia","April",2011-04-01,-0.331,1
"Australia","April",2012-04-01,0.289,1
"Australia","April",2013-04-01,1.208,1
"Australia","April",2014-04-01,1.255,1
"Australia","April",2015-04-01,-0.399,1
"Australia","April",2016-04-01,2.122,1
"Australia","April",2017-04-01,0.236,1
"Australia","April",2018-04-01,2.332,1
"Australia","April",2019-04-01,1.292,1
"Australia","May",2000-05-01,-0.653,1
"Australia","May",2001-05-01,-0.05,1
"Australia","May",2002-05-01,1.667,1
"Australia","May",2003-05-01,1.345,1
"Australia","May",2004-05-01,0.378,1
"Australia","May",2005-05-01,1.548,1
"Australia","May",2006-05-01,-0.565,1
"Australia","May",2007-05-01,2.127,1
"Australia","May",2008-05-01,0.659,1
"Australia","May",2009-05-01,0.386,1
"Australia","May",2010-05-01,0.865,1
"Australia","May",2011-05-01,-0.902,1
